Job_Title,Company_Name,Location,Summary,Days_Posted_Ago
Python Data Science Internship  in Mumbai,MAXGEN TECHNOLOGIES PRIVATE LIMITED,Navi Mumbai,"Maxgen Technologies Pvt Ltd is an IT company since 2014 in Ahmedabad, Mumbai and pune. We areLooking For Python Summer Internship. In Core Python,Django ,Machine learning ,Data Science Job","Apr 25, 2020"
Data Scientist - Python/ R/sql/machine Learning/spark/scala,DATA TRAINED EDUCATION,Navi Mumbai,To interpret complex requirements and translate them to machine learning algorithm. Experience working with Cloud platforms is preferable. Bachelor's Degree with 0-10 years of experience in Data Science. Proficiency in,"Apr 10, 2020"
Opening For Data Engineer -Mumbai,PATHWAY HUB Hiring For Client,Navi Mumbai,"This is Aayesha from Pathway Hub.We are into recruitment, personnel staffing and complete Human Resources needs. catering to recruitment and manpower needs of corporate across the globe. One of our","Apr 15, 2020"
Data Scientist,Seven Consultancy,Navi Mumbai,"1. Develop forecasting and probability scoring models 2. Perform statistical analysis 3. Develop pattern recognition algorithms using machine learning and artificial intelligence techniques 4. Quantitative analysis including data mining, cleaning,","Mar 17, 2020"
Python Data Science Internship in Mumbai,MAXGEN TECHNOLOGIES PRIVATE LIMITED,Navi Mumbai,"Maxgen Technologies Pvt Ltd looking for summer interns for internship programme. We are having Internship requirement in Core Python,Machine Learning,AI technology,Data Scienece Candidate must able to perform on basic task.","Mar 18, 2020"
Machine Learning  Data Science Summer Internship in Mumbai,MAXGEN TECHNOLOGIES PRIVATE LIMITED,Navi Mumbai,"Maxgen Technologies Pvt Ltd hiring Python Summer Interns for Live Project Internship Program . Candidate will work on live project in Core Python,Machine learning,AI technology, Data Science We have experience","Apr 05, 2020"
Python Data Science Internship  in Mumbai,MAXGEN TECHNOLOGIES PRIVATE LIMITED,Navi Mumbai,"Maxgen Technologies Pvt Ltd is an IT company since 2014 in Ahmedabad, Mumbai and pune. We areLooking For Python Summer Internship. In Core Python,Django ,Machine learning ,Data Science Job","Apr 25, 2020"
Data Scientist - Python/ R/sql/machine Learning/spark/scala,DATA TRAINED EDUCATION,Navi Mumbai,To interpret complex requirements and translate them to machine learning algorithm. Experience working with Cloud platforms is preferable. Bachelor's Degree with 0-10 years of experience in Data Science. Proficiency in,"Apr 10, 2020"
Opening For Data Engineer -Mumbai,PATHWAY HUB Hiring For Client,Navi Mumbai,"This is Aayesha from Pathway Hub.We are into recruitment, personnel staffing and complete Human Resources needs. catering to recruitment and manpower needs of corporate across the globe. One of our","Apr 15, 2020"
Data Scientist,Seven Consultancy,Navi Mumbai,"1. Develop forecasting and probability scoring models 2. Perform statistical analysis 3. Develop pattern recognition algorithms using machine learning and artificial intelligence techniques 4. Quantitative analysis including data mining, cleaning,","Mar 17, 2020"
